nid	len
575920	6248
569042	3586
571418	3191
567933	2831
567861	2747
576853	2731
577403	2656
576514	2621
568041	2611
576794	2609
576531	2595
571726	2486
571863	2455
568731	2414
574149	2362
576660	2360
572999	2357
574280	2338
569117	2332
571664	2321
571180	2319
576646	2316
578475	2297
577286	2265
576184	2261
574543	2260
577139	2240
568276	2232
570014	2231
576767	2210
569118	2209
569039	2209
574485	2204
573423	2201
568914	2199
571425	2198
578700	2197
573438	2193
573952	2184
572166	2184
577543	2184
572399	2172
577419	2166
567796	2163
573440	2158
569019	2147
570015	2145
578414	2139
569119	2136
569121	2136
577522	2135
571167	2118
577279	2116
568793	2115
576833	2112
571693	2111
568723	2111
571898	2111
579791	2110
572044	2106
568892	2103
569249	2100
577538	2092
571423	2080
573325	2080
573459	2076
570452	2067
574443	2065
572292	2064
574328	2061
570670	2060
568735	2060
569012	2059
576768	2055
579962	2055
570570	2055
576658	2054
578564	2053
570494	2051
576889	2049
577910	2048
571712	2036
579032	2027
577544	2026
568854	2026
573451	2024
571155	2024
575377	2020
572998	2018
575378	2016
576723	2013
571153	2011
569108	2010
573089	2009
571714	2006
567849	2003
577928	2003
577826	2002
577636	2001
572045	2001
574187	2001
569122	1996
574189	1991
577420	1990
578479	1990
577884	1988
568788	1988
576813	1985
567587	1980
576093	1980
568950	1978
571981	1977
568741	1977
580202	1975
578883	1974
567724	1969
577141	1968
574288	1965
576232	1960
577010	1959
576783	1958
577460	1955
577508	1955
569484	1952
571906	1947
568987	1947
572696	1944
570011	1943
578122	1938
578386	1938
568331	1936
578236	1936
577536	1935
569546	1935
577960	1931
572097	1931
573395	1931
574402	1930
574002	1928
570497	1928
579782	1925
576667	1918
571822	1917
575458	1917
568054	1917
577418	1915
574178	1914
568967	1907
573434	1907
577633	1904
576188	1903
571921	1900
575983	1899
572710	1898
577767	1892
576155	1889
573101	1888
572671	1888
570871	1885
573319	1883
570537	1880
577247	1879
574024	1877
569206	1877
574346	1873
571806	1872
576798	1871
576565	1870
569082	1869
576764	1869
580348	1869
572332	1867
578225	1865
576776	1864
574031	1864
577241	1864
571876	1863
572703	1861
571878	1859
569228	1854
573712	1853
568704	1852
579480	1848
568915	1846
579393	1845
571969	1843
574137	1843
571691	1839
573907	1839
569020	1838
577007	1836
570876	1836
571179	1835
573449	1834
572716	1834
568963	1834
574463	1834
576820	1832
568990	1832
573957	1831
579011	1831
573460	1829
567663	1829
574029	1826
567646	1826
569196	1826
577143	1826
